Num of reads real,Coverage percentage,Num of mice,Num of samples,Samples-mice ratio,Score,Num of reads
19879800,40,2,40,20,0.695021109,19.8798
19999906,90,1,16,16,0.578626916,19.999906
20011776,90,1,16,16,0.560057212,20.011776
20097719,70,1,27,27,0.670061129,20.097719
20097719,70,1,27,27,0.86601974,20.097719
20199735,90,1,20,20,0.631544911,20.199735
20199735,90,1,20,20,0.83966269,20.199735
20268054,50,1,36,36,0.676923872,20.268054
20422077,60,1,31,31,0.68353764,20.422077
20538228,50,1,39,39,0.679502959,20.538228
20579805,100,1,17,17,0.656024719,20.579805
20589114,60,1,31,31,0.688275238,20.589114
20589114,60,1,31,31,0.873418638,20.589114
20597110,50,2,35,17.5,0.711822037,20.59711
20604684,40,2,35,17.5,0.631205841,20.604684
20604684,40,2,35,17.5,0.945434995,20.604684
20882204,110,1,20,20,0.623625587,20.882204
21035355,80,1,23,23,0.675790694,21.035355
21095083,100,1,18,18,0.655009835,21.095083
21191108,90,1,23,23,0.623274794,21.191108
21191108,90,1,23,23,0.840468047,21.191108
21289463,70,1,27,27,0.663372611,21.289463
21331369,80,1,23,23,0.702508431,21.331369
21331369,80,1,23,23,0.882279188,21.331369
21331385,80,1,26,26,0.639278008,21.331385
21331385,80,1,26,26,0.851749463,21.331385
21592289,110,1,18,18,0.628741882,21.592289
21592289,110,1,18,18,0.861759654,21.592289
21635622,50,1,40,40,0.672307317,21.635622
22082145,40,1,38,38,0.689684913,22.082145
22118288,40,2,35,17.5,0.62636148,22.118288
22118288,40,2,35,17.5,0.940571317,22.118288
22133518,40,1,38,38,0.718239717,22.133518
22222118,100,1,16,16,0.588501448,22.222118
22235307,100,1,16,16,0.549097568,22.235307
22309527,40,2,42,21,0.674598107,22.309527
22444151,100,1,20,20,0.636113819,22.444151
22444151,100,1,20,20,0.841803281,22.444151
22451874,70,1,26,26,0.628153877,22.451874
22596877,50,1,40,40,0.689701898,22.596877
22637785,110,1,17,17,0.640579789,22.637785
22712364,40,2,44,22,0.746453894,22.712364
22712364,40,2,44,22,0.903991806,22.712364
22780586,120,1,20,20,0.641816421,22.780586
22829800,50,1,34,34,0.684912265,22.8298
22968822,80,1,27,27,0.666885793,22.968822
22968822,80,1,27,27,0.865473289,22.968822
23137328,50,1,34,34,0.693299973,23.137328
23204591,110,1,18,18,0.66653895,23.204591
23271756,60,1,29,29,0.678420063,23.271756
23545676,100,1,23,23,0.643403363,23.545676
23545676,100,1,23,23,0.84954502,23.545676
23555224,120,1,18,18,0.628597239,23.555224
23555224,120,1,18,18,0.862794628,23.555224
23650451,40,1,47,47,0.758743958,23.650451
23664774,90,1,23,23,0.678333732,23.664774
23825757,70,1,31,31,0.686518627,23.825757
23898786,40,1,45,45,0.75496924,23.898786
23997790,90,1,23,23,0.685241799,23.99779
23997790,90,1,23,23,0.874978631,23.99779
23997808,90,1,26,26,0.643552812,23.997808
23997808,90,1,26,26,0.853260768,23.997808
24020633,70,1,31,31,0.712554734,24.020633
24020633,70,1,31,31,0.885357198,24.020633
24116752,50,2,37,18.5,0.640386389,24.116752
24116752,50,2,37,18.5,0.949168444,24.116752
24173603,40,1,47,47,0.76581951,24.173603
24321664,60,1,36,36,0.703138865,24.321664
