row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
 ENSMUSG00000020297,98.1816199090074,27.966888901803454,0.6405212076955613,43.66270556820668,0,0
 ENSMUSG00000038264,25.40702265402707,-29.527274936135225,0.7728154101271416,-38.20740962098242,0,0
 ENSMUSG00000018930,301.8416108807111,-30,1.0404907020888043,-28.832549814980993,8.386405331003672e-183,2.145801577359473e-179
 ENSMUSG00000039759,31.27393842241382,26.896961628275776,1.023700261855485,26.274254906923918,3.776789863513612e-152,7.247659748082622e-149
 ENSMUSG00000030268,165.30904403465277,-17.655252956251168,0.7133080433720668,-24.7512321223638,3.007019616849978e-135,4.616376515788087e-132
 ENSMUSG00000028655,11.658928443972943,-28.46022238807688,1.2111605930723535,-23.4983061295627,4.2446665543648114e-122,5.430343411884049e-119
 ENSMUSG00000029603,139.03956573837732,14.092887281025734,0.6003340353708845,23.47507629201665,7.331944774319743e-122,8.040001155382622e-119
 ENSMUSG00000048215,193.07646576388322,15.622607159684094,0.6829506917028558,22.87516119316168,8.212241995666433e-116,7.879646194841943e-113
 ENSMUSG00000097418,146.14146215859702,-11.579124600610452,0.5630974678330204,-20.563268815913233,5.855244057415121e-94,4.993872598302053e-91
 ENSMUSG00000017493,314.58860503246507,11.178052285632221,0.5507686348456874,20.295368287927385,1.4129210684086928e-91,1.0845582121105126e-88
 ENSMUSG00000006494,259.7483699350384,10.410057854424714,0.5223428127610475,19.92955124508802,2.2557550399839854e-88,1.5741068806288248e-85
 ENSMUSG00000070327,187.00314102953524,12.635540974764863,0.6521819808354509,19.374256489850616,1.2728676119025385e-83,8.142109824136571e-81
 ENSMUSG00000032946,172.76183625885477,9.839702747714284,0.519898032479654,18.92621655208775,6.936927938190623e-80,4.095989142580864e-77
 ENSMUSG00000029923,20.509688784757337,26.275496798788815,1.4162323287398382,18.55309772667647,7.6984735926644e-77,4.22096309266371e-74
 ENSMUSG00000024900,14.110579470589375,25.79414970153932,1.4086726572506598,18.310960725171157,6.766533324681046e-75,3.462660653350114e-72
 ENSMUSG00000026989,104.32083374208288,10.718964878575301,0.5865568384817821,18.274383956241646,1.3237629535328154e-74,6.350752769573682e-72
 ENSMUSG00000001348,226.8475232870205,9.693224936370468,0.5401495551847066,17.945446484827382,5.209025004940673e-72,2.3520279963485064e-69
 ENSMUSG00000019872,175.5640227144207,13.77793817782027,0.7680746863146817,17.93827921074777,5.926204606968598e-72,2.5271970312828313e-69
 ENSMUSG00000030541,11.515114812406386,22.392267377062822,1.2947506760429899,17.29465586803009,5.161027691096828e-67,2.0850551872031186e-64
 ENSMUSG00000026222,935.2420687551222,5.879709670598513,0.3492008559860637,16.837615285894852,1.2934501258977947e-63,4.9642615831957364e-61
 ENSMUSG00000028965,908.9196697861136,-9.578632272995579,0.5722709473863656,-16.73793212243678,6.935603033454821e-63,2.535128042133295e-60
 ENSMUSG00000032657,287.9110833232456,8.307841937470435,0.4982226959386449,16.674956811870185,1.9935549004376304e-62,6.955694279890569e-60
 ENSMUSG00000045932,12.528220008299897,22.348257811551292,1.360354473064252,16.428260614463934,1.2005337207889432e-60,4.0066508003373606e-58
 ENSMUSG00000034353,107.36942094569838,13.44654617383832,0.8240644404289648,16.317347908907163,7.429383258535541e-60,2.3761644121882837e-57
 ENSMUSG00000074604,78.29393307008577,11.313393743875295,0.7093535665135541,15.94887835621973,2.900597094679821e-57,8.905993319504923e-55
 ENSMUSG00000059013,46.4500629022396,12.719910401862505,0.8178311447375561,15.553223282960632,1.512957743767527e-54,4.466716785061361e-52
 ENSMUSG00000079339,14.850054417903861,25.309233516802834,1.6383518863844497,15.44798387155753,7.78403568121014e-54,2.2129725144062604e-51
 ENSMUSG00000042262,91.02802949429386,-13.569118385019877,0.8819510655349813,-15.385341562900667,2.052903180757138e-53,5.627887434104211e-51
 ENSMUSG00000020901,66.89163711170532,10.656049125181397,0.6930055350600979,15.376571450121675,2.350700036330532e-53,6.222059820301091e-51
 ENSMUSG00000019817,139.82779565078155,-16.487590540902367,1.1195057620548015,-14.727562018653796,4.2890169796747785e-49,1.09741647786612e-46
 ENSMUSG00000026199,11.626105720665576,25.52597386422779,1.7346253176286266,14.715554768406047,5.12244193022824e-49,1.2683827179494184e-46
 ENSMUSG00000036006,647.3955289580532,5.917134465686158,0.4039550915159675,14.648000705920714,1.387383215623318e-48,3.3279854884764336e-46
 ENSMUSG00000021356,738.6460412856842,-7.473008535921596,0.515142268410325,-14.506688723063858,1.0989911717563263e-47,2.5563200710307758e-45
 ENSMUSG00000000708,37.90576854959294,13.241982426041234,0.9158581500509462,14.458551714918546,2.214076678179993e-47,4.998603700502831e-45
 ENSMUSG00000105979,56.14923443445043,-13.658935713854177,0.953160613108487,-14.330151210622404,1.418114994251449e-46,3.1101287702497496e-44
 ENSMUSG00000022106,55.578289637193784,12.834833234653663,0.8966916391932342,14.313541772510936,1.8010233470431627e-46,3.840182003306477e-44
 ENSMUSG00000053820,90.57556493407029,-7.696387543771901,0.5410162541899194,-14.225797255012132,6.337791551607179e-46,1.314834809463154e-43
 ENSMUSG00000098318,9.69675985979208,25.26851002415701,1.7850476076547137,14.155650480020565,1.723356819602488e-45,3.4811807755970255e-43
 ENSMUSG00000034614,49.93927486759607,5.834849585419164,0.41236163294396,14.149836258438041,1.871926342375944e-45,3.684335026686602e-43
 ENSMUSG00000079563,34.39361219876873,13.267327872139717,0.9449467537828615,14.040291496877721,8.834848802439796e-45,1.6954074851881967e-42
